caller_phone_id,receiver_phone_id,timestamp,duration_seconds,case_id
PH003,PH012,2026-08-10T17:27:09.435874,2419,C005
PH018,PH008,2026-09-03T22:27:09.435874,912,C001
PH001,PH004,2026-09-05T18:27:09.435874,251,C006
PH008,PH003,2026-08-11T04:27:09.435874,3531,C010
PH011,PH003,2026-08-31T18:27:09.435874,984,C001
PH009,PH017,2026-08-18T23:27:09.435874,2218,C006
PH005,PH020,2026-09-03T10:27:09.435874,1946,C008
PH008,PH017,2026-08-27T04:27:09.435874,789,C010
PH004,PH005,2026-09-06T22:27:09.435874,1775,C010
PH012,PH015,2026-08-27T08:27:09.435874,1922,C003
PH002,PH005,2026-08-12T10:27:09.435874,1659,C001
PH011,PH004,2026-08-20T10:27:09.435874,794,C001
PH007,PH019,2026-08-28T23:27:09.435874,584,C004
PH014,PH006,2026-08-21T17:27:09.435874,1904,C009
PH008,PH003,2026-08-28T17:27:09.435874,3319,C010
PH018,PH004,2026-08-11T23:27:09.435874,2681,C001
PH018,PH001,2026-08-13T19:27:09.435874,3096,C001
PH008,PH006,2026-08-27T04:27:09.435874,1999,C010
PH016,PH007,2026-08-26T22:27:09.435874,250,C006
PH006,PH014,2026-08-09T22:27:09.435874,1609,C003
PH009,PH016,2026-08-22T00:27:09.435874,1742,C006
PH018,PH016,2026-08-16T10:27:09.435874,787,C001
PH010,PH007,2026-08-12T07:27:09.435874,2382,C009
PH018,PH002,2026-08-23T05:27:09.435874,244,C001
PH002,PH020,2026-08-30T04:27:09.435874,2069,C001
PH017,PH006,2026-08-12T06:27:09.435874,2090,C007
PH003,PH007,2026-08-12T18:27:09.435874,2447,C005
PH003,PH009,2026-08-27T01:27:09.435874,501,C005
PH019,PH008,2026-09-03T12:27:09.435874,2445,C003
PH002,PH004,2026-08-27T17:27:09.435874,2702,C001
PH019,PH020,2026-09-01T03:27:09.435874,1305,C003
PH009,PH007,2026-09-07T09:27:09.435874,2943,C006
PH011,PH008,2026-08-21T03:27:09.435874,1631,C001
PH005,PH011,2026-08-29T08:27:09.435874,1305,C008
PH003,PH001,2026-08-29T09:27:09.435874,2554,C005
PH019,PH004,2026-08-12T23:27:09.435874,2212,C003
PH007,PH018,2026-08-21T03:27:09.435874,552,C004
PH012,PH003,2026-08-20T06:27:09.435874,1523,C003
PH010,PH006,2026-08-28T12:27:09.435874,3425,C009
PH018,PH010,2026-09-04T22:27:09.435874,3315,C001
PH017,PH001,2026-09-07T07:27:09.435874,3356,C007
PH018,PH010,2026-09-07T03:27:09.435874,434,C001
PH005,PH010,2026-08-14T18:27:09.435874,448,C008
PH018,PH005,2026-08-21T10:27:09.435874,1164,C001
PH020,PH007,2026-08-24T11:27:09.435874,843,C005
PH009,PH018,2026-08-30T16:27:09.435874,1038,C006
PH002,PH004,2026-09-05T21:27:09.435874,1744,C001
PH009,PH002,2026-08-09T23:27:09.435874,1376,C006
PH005,PH010,2026-08-16T17:27:09.435874,3046,C008
PH015,PH019,2026-08-28T01:27:09.435874,2307,C002
PH001,PH005,2026-08-13T01:27:09.435874,2840,C006
PH005,PH019,2026-08-11T08:27:09.435874,3428,C008
PH012,PH020,2026-09-02T09:27:09.435874,616,C003
PH014,PH005,2026-08-11T14:27:09.435874,1272,C009
PH012,PH002,2026-08-25T02:27:09.435874,870,C003
PH008,PH004,2026-08-24T22:27:09.435874,3205,C010
PH018,PH014,2026-09-05T07:27:09.435874,3079,C001
PH005,PH009,2026-08-16T18:27:09.435874,3286,C008
PH006,PH015,2026-08-10T21:27:09.435874,744,C003
PH011,PH015,2026-09-07T09:27:09.435874,3549,C001
PH008,PH010,2026-08-16T15:27:09.435874,3235,C010
PH004,PH014,2026-08-11T11:27:09.435874,3526,C010
PH016,PH008,2026-08-18T08:27:09.435874,3354,C006
PH015,PH012,2026-08-22T20:27:09.435874,3370,C002
PH008,PH009,2026-08-10T20:27:09.435874,2713,C010
PH007,PH014,2026-08-23T20:27:09.435874,1151,C004
PH003,PH010,2026-08-24T19:27:09.435874,2637,C005
PH017,PH013,2026-09-07T19:27:09.435874,3465,C007
PH018,PH011,2026-08-11T00:27:09.435874,482,C001
PH009,PH006,2026-09-03T14:27:09.435874,1097,C006
PH002,PH005,2026-09-04T06:27:09.435874,1789,C001
PH012,PH011,2026-08-28T10:27:09.435874,2493,C003
PH017,PH004,2026-08-26T06:27:09.435874,2371,C007
PH007,PH010,2026-08-11T17:27:09.435874,2913,C004
PH014,PH001,2026-09-01T00:27:09.435874,3313,C009
PH018,PH007,2026-08-25T08:27:09.435874,1776,C001
PH003,PH012,2026-09-05T10:27:09.435874,1295,C005
PH004,PH011,2026-08-31T11:27:09.435874,1276,C010
PH014,PH011,2026-08-27T00:27:09.435874,2865,C009
PH010,PH019,2026-08-15T06:27:09.435874,795,C009
PH014,PH013,2026-09-07T17:27:09.435874,3074,C009
PH006,PH020,2026-08-22T16:27:09.435874,1673,C003
PH018,PH001,2026-08-22T19:27:09.435874,1185,C001
PH007,PH015,2026-09-03T13:27:09.435874,2494,C004
PH011,PH016,2026-08-28T16:27:09.435874,1821,C001
PH007,PH018,2026-08-30T00:27:09.435874,3261,C004
PH006,PH003,2026-08-21T22:27:09.435874,2121,C003
PH020,PH011,2026-08-13T19:27:09.435874,3362,C005
PH008,PH011,2026-08-19T10:27:09.435874,3313,C010
PH007,PH005,2026-08-10T21:27:09.435874,199,C004
PH008,PH017,2026-09-04T21:27:09.435874,3490,C010
PH003,PH016,2026-08-27T12:27:09.435874,2589,C005
PH019,PH007,2026-08-26T05:27:09.435874,2034,C003
PH013,PH008,2026-08-16T03:27:09.435874,2697,C007
PH001,PH005,2026-08-27T23:27:09.435874,906,C006
PH006,PH018,2026-08-29T15:27:09.435874,215,C003
